Fannie Mae Projected Environmental Impact At Issuance Per CUSIP: Multifamily Green MBS(1)(2),,,,,,,,,
2012-2022,,,,,,,,,
© 2023 Fannie Mae,,,,,,,,,
,,,,,,,,,
Security CUSIP,(notes),Green Financing Type,Issue Date,"Issuance UPB
($USD)","Estimated Annual 
Energy Savings (3)(4)
(kBTU) ","Estimated Annual 
Emissions Savings (3)
(MTCO2e) ","Estimated Annual 
Water Savings (3)
(gallons) ",,
3140LH2R0,,Green Building Certification,1 Dec 2022," 34,142,000 "," 1,240,031 ", 58 , -   ,,
3140LH5K2,,Green Building Certification,1 Dec 2022," 82,180,000 "," 7,543,701 ", 292 , -   ,,
3140LHUA6,,Green Building Certification,1 Dec 2022," 34,146,000 "," 5,626,484 ", 283 , -   ,,
3140LJCX2,,Green Building Certification,1 Dec 2022," 44,845,000 "," 4,361,035 ", 197 , -   ,,
3140LJKT2,,Green Building Certification,1 Dec 2022," 34,405,000 "," 1,488,646 ", 63 , -   ,,
3140LJKY1,,Green Building Certification,1 Dec 2022," 13,010,000 "," 1,638,914 ", 66 , -   ,,
3140LH3X6,,Green Rewards,1 Dec 2022," 22,554,000 "," 2,417,368 ", 164 ," 1,305,800 ",,
3140LJCV6,,Green Rewards,1 Dec 2022," 9,000,000 "," 2,096,533 ", 121 ," 1,609,240 ",,
3140LH3C2,(5),Green Building Certification,1 Nov 2022," 55,170,000 ", -   , -   , -   ,,
3140LH4A5,,Green Building Certification,1 Nov 2022," 20,210,000 "," 3,576,479 ", 153 , -   ,,
3140LH5F3,,Green Building Certification,1 Nov 2022," 39,958,000 "," 2,770,874 ", 120 , -   ,,
3140LHJR2,,Green Building Certification,1 Nov 2022," 16,467,000 "," 1,592,836 ", 72 , -   ,,
3140LHS68,,Green Building Certification,1 Nov 2022," 8,255,000 "," 1,442,711 ", 72 , -   ,,
3140LHS76,,Green Building Certification,1 Nov 2022," 11,615,000 "," 1,727,660 ", 87 , -   ,,
3140LHS84,,Green Building Certification,1 Nov 2022," 50,191,000 "," 8,857,700 ", 445 , -   ,,
3140LHSK7,,Green Building Certification,1 Nov 2022," 54,059,000 "," 8,275,671 ", 305 , -   ,,
3140LHTE0,,Green Building Certification,1 Nov 2022," 46,238,000 "," 2,955,050 ", 124 , -   ,,
3140LHTS9,(5),Green Building Certification,1 Nov 2022," 163,879,000 ", -   , -   , -   ,,
3140LHUB4,,Green Building Certification,1 Nov 2022," 95,633,000 "," 9,317,378 ", 240 , -   ,,
