SubsidiesId,Country,ISO2,ISO3,Indicator,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,Unit,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022,F2023,F2024,F2025
1,"Afghanistan, Islamic Rep. of",AF,AFG,Explicit Fossil Fuel Subsidies - Coal,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941. Accessed on 2021-09-13; IMF staff estimations.",ECGFTEC,Explicit; Coal,"Environment, Climate Change, Government Policy, Fossil Fuel Subsidies, Total Implicit and Explicit, Explicit, Coal",USD at constant 2021 prices,0,0,0,0,0,0,0,0,0,0,0
2,"Afghanistan, Islamic Rep. of",AF,AFG,Explicit Fossil Fuel Subsidies - Electricity,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941. Accessed on 2021-09-13; IMF staff estimations.",ECGFTET,Explicit; Electricity,"Environment, Climate Change, Government Policy, Fossil Fuel Subsidies, Total Implicit and Explicit, Explicit, Electricity",USD at constant 2021 prices,0,0,0,16076501.46,73109820.49,14739573,50287108.87,51410283.89,56873176.25,57782184.33,53959701.21
3,"Afghanistan, Islamic Rep. of",AF,AFG,Explicit Fossil Fuel Subsidies - Natural Gas,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941. Accessed on 2021-09-13; IMF staff estimations.",ECGFTEN,Explicit; Natural Gas,"Environment, Climate Change, Government Policy, Fossil Fuel Subsidies, Total Implicit and Explicit, Explicit, Natural Gas",USD at constant 2021 prices,0,0,0,0,0,0,0,0,0,0,0
4,"Afghanistan, Islamic Rep. of",AF,AFG,Explicit Fossil Fuel Subsidies - Petroleum,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941. Accessed on 2021-09-13; IMF staff estimations.",ECGFTEP,Explicit; Petroleum,"Environment, Climate Change, Government Policy, Fossil Fuel Subsidies, Total Implicit and Explicit, Explicit, Petroleum",USD at constant 2021 prices,0,0,10189660.82,84248848.26,76857596.64,45496534.56,0,0,0,0,0
5,"Afghanistan, Islamic Rep. of",AF,AFG,Explicit Fossil Fuel Subsidies - Total,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941. Accessed on 2021-09-13; IMF staff estimations.",ECGFTE,Explicit,"Environment, Climate Change, Government Policy, Fossil Fuel Subsidies, Total Implicit and Explicit, Explicit",USD at constant 2021 prices,0,0,10189660.82,100325346,149967417.1,60236107.56,50287108.87,51410283.89,56873176.25,57782184.33,53959701.21
6,"Afghanistan, Islamic Rep. of",AF,AFG,Fossil Fuel Subsidies - Total Implicit and Explicit,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941. Accessed on 2021-09-13; IMF staff estimations.",ECGFT,Total Implicit and Explicit,"Environment, Climate Change, Government Policy, Fossil Fuel Subsidies, Total Implicit and Explicit",USD at constant 2021 prices,1281176805,1308745861,779907107.4,1876088381,2023716688,1858294845,1565898299,1739507318,1901601195,2016910076,2146226168
7,"Afghanistan, Islamic Rep. of",AF,AFG,Fossil Fuel Subsidies - Total Implicit and Explicit -  Natural Gas,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941. Accessed on 2021-09-13; IMF staff estimations.",ECGFTN,Total Implicit and Explicit; Natural Gas,"Environment, Climate Change, Government Policy, Fossil Fuel Subsidies, Total Implicit and Explicit, Natural Gas",USD at constant 2021 prices,15880240.13,18355375.16,17708223.31,17348462.72,22795081.14,21328859.03,19403008.74,23017136.38,26438746.6,29710849.75,33222649.25
8,"Afghanistan, Islamic Rep. of",AF,AFG,Fossil Fuel Subsidies - Total Implicit and Explicit - Coal,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941. Accessed on 2021-09-13; IMF staff estimations.",ECGFTC,Total Implicit and Explicit; Coal,"Environment, Climate Change, Government Policy, Fossil Fuel Subsidies, Total Implicit and Explicit, Coal",USD at constant 2021 prices,277564346.8,343795627.4,440039366.5,500569880,558894336.2,518594026.6,550188481.8,617470383.6,679036259.7,715189218.5,758938431.7
9,"Afghanistan, Islamic Rep. of",AF,AFG,Fossil Fuel Subsidies - Total Implicit and Explicit - Electricity,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941. Accessed on 2021-09-13; IMF staff estimations.",ECGFTT,Total Implicit and Explicit; Electricity,"Environment, Climate Change, Government Policy, Fossil Fuel Subsidies, Total Implicit and Explicit, Electricity",USD at constant 2021 prices,0,0,0,16076501.46,73109820.49,14739573,50287108.87,51410283.89,56873176.25,57782184.33,53959701.21
10,"Afghanistan, Islamic Rep. of",AF,AFG,Fossil Fuel Subsidies - Total Implicit and Explicit - Petroleum,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941. Accessed on 2021-09-13; IMF staff estimations.",ECGFTP,Total Implicit and Explicit; Petroleum,"Environment, Climate Change, Government Policy, Fossil Fuel Subsidies, Total Implicit and Explicit, Petroleum",USD at constant 2021 prices,987732231.6,946594834.3,322159528.7,1342093587,1368917465,1303632498,946019768.7,1047609448,1139253020,1214227915,1300105453
